"collection_id","title","authors","published_year","description","categories","vote_average"
12,"The Reptile Room","Lemony Snicket",1999,"Dear Reader, If you have picked up this book with the hope of finding a simple and cheery tale, I'm afraid you have picked up the wrong book altogether. The story may seem cheery at first, when the Baudelaire children spend time in the company of some interesting reptiles and a giddy uncle, but don't be fooled. If you know anything at all about the unlucky Baudelaire children, you already know that even pleasant events lead down the same road to misery. In fact, within the pages you now hold in your hands, the three siblings endure a car accident, a terrible odor, a deadly serpent, a long knife, a large brass reading lamp, and the appearance of a person they'd hoped never to see again. I am bound to record these tragic events, but you are free to put this book back on the shelf and seek something lighter. With all due respect, Lemony Snicket","Fiction, Young Adult, Childrens, Fantasy, Mystery, Adventure","4.01"
12,"The Wide Window","Lemony Snicket",2000,"Dear Reader, If you have not read anything about the Baudelaire orphans, then before you read even one more sentence, you should know this: Violet, Klaus, and Sunny are kindhearted and quick-witted; but their lives, I am sorry to say, are filled with bad luck and misery. All of the stories about these three children are unhappy and wretched, and this one may be the worst of them all. If you haven't got the stomach for a story that includes a hurricane, a signalling device, hungry leeches, cold cucumber soup, a horrible villain, and a doll named Pretty Penny, then this book will probably fill you with despair. I will continue to record these tragic tales, for that is what I do. You, however, should decide for yourself whether you can possibly endure this miserable story.","Fiction, Young Adult, Childrens, Fantasy, Mystery, Adventure","3.95"
12,"The Miserable Mill","Lemony Snicket",2000,"Dear Reader, I hope, for your sake, that you have not chosen to read this book because you are in the mood for a pleasant experience. If this is the case, I advise you to put this book down instantaneously, because of all the books describing the unhappy lives of the Baudelaire orphans, The Miserable Mill might be the unhappiest yet. Violet, Klaus, and Sunny Baudelaire are sent to Paltryville to work in a lumber mill, and they find disaster and misfortune lurking behind every log. The pages of this book, I'm sorry to inform you, contain such unpleasantries as a giant pincher machine, a bad casserole, a man with a cloud of smoke where his head should be, a hypnotist, a terrible accident resulting in injury, and coupons. I have promised to write down the entire history of these three poor children, but you haven't, so if you prefer stories that are more heartwarming, please feel free to make another selection. With all due respect, Lemony Snicket","Fiction, Young Adult, Childrens, Fantasy, Mystery, Adventure","3.86"
13,"The Secret of Terror Castle","Robert Arthur",1964,"Finding a genuine haunted house for a movie set sounds like fun -- and a great way to generate publicity for the Three Investigators' new detective agency. But when the boys arrive for an overnight visit at Terror Castle -- home of a deceased horror-movie actor -- they soon find out how the place got its name!","Mystery, Fiction, Young Adult, Childrens, Adventure, Detective","4.05"
13,"The Mystery of the Stuttering Parrot","Robert Arthur",1964,"Hot on the trail of seven talking parrots that have seemingly vanished into thin air, the Three Investigators are in more trouble than ever. Danger lurks at every turn as they search for the birds, each of whom can quote part of a coded message from a mysterious dead man.","Mystery, Fiction, Young Adult, Childrens, Adventure, Detective","4.01"
13,"The Mystery of the Whispering Mummy","Robert Arthur",1965,"When Ra-Orkon, a 3,000-year-old mummy, begins to whisper strange words in an ancient Egyptian tongue, the Three Investigators are determined to find out the facts: Why is he speaking? What is he saying? And how is the horrible curse of Ra-Orkon about to be fulfilled? Originally published in hardcover beginning in 1964, these classic mystery/adventure stories feature three boys--Jupiter Jones, Pete Crenshaw, and Bob Andrews--who establish a detective firm with the motto ""We Investigate Anything!"" Perfect for summer reading, these suspenseful action stories will appeal to both boys and girls.","Mystery, Fiction, Young Adult, Childrens, Adventure, Detective","3.85"
13,"The Mystery of the Green Ghost","Robert Arthur",1965,"A green ghost oozes through the walls of a crumbling old mansion, leading The Three Investigators to an open coffin and a grinning skeleton wearing a string of priceless Chinese Ghost Pearls. When the ghost disappears--along with the pearls--the sleuths are off on their strangest case ever!","Mystery, Fiction, Young Adult, Childrens, Adventure, Detective","3.82"
14,"The Science of Discworld","Terry Pratchett",1999,"When a wizardly experiment goes adrift, the wizards of Unseen University find themselves with a pocket universe on their hands: Roundworld, where neither magic nor common sense seems to stand a chance against logic.","Fantasy, Fiction, Humor, Science Fiction, Comedy","3.96"
14,"The Globe","Terry Pratchett",2002,"The planet Earth has picked up a parasite life-form - elves. They get everywhere. And they like humans to be superstitious, fearful and frightened of thunder. They're after our future and must be stopped... but by who? Enter the wizards of the Unseen University who, in the best-selling ""Science of Discworld,"" unwittingly created Earth and our own universe. At the time they quite failed to notice humanity. (Well, we've only been around for a million years, so we're easily overlooked...) But now, at last, they've found us. ""The Globe"" is a unique book, weaving together a fast-paced Discworld novelette with cutting-edge scientific commentary on the evolution and development of the human mind, culture, language, art, and science. The result - as the wizards grapple with the nature of Good and Evil, and history is rewritten several times over - is a fascinating and brilliantly original view of the world we live in.","Fantasy, Fiction, Humor, Science Fiction, Comedy","3.94"
14,"Darwin's Watch","Terry Pratchett",2005,"Roundworld is in trouble again, and this time it looks fatal. Having created it in the first place, the wizards of Unseen University feel vaguely responsible for its safety. They know the creatures who lived there escaped the impending Big Freeze by inventing the space elevator -- they even intervened to rid the planet of a plague of elves, who attempted to divert humanity onto a different time track. But now it's all gone wrong -- Victorian England has stagnated and the pace of progress would embarrass a limping snail. Unless something drastic is done, there won't be time for anyone to invent spaceflight and the human race will be turned into ice-pops. Why, though, did history come adrift? Was it Sir Arthur Nightingale's dismal book about natural selection? Or was it the devastating response by an obscure country vicar called Charles Darwin, whose bestselling Theology of Species made it impossible to refute the divine design of living creatures? Either way, it's no easy task to change history, as the wizards discover to their cost. Can the God of Evolution come to humanity's aid and ensure Darwin writes a very different book? And who stopped him writing it in the first place?","Fantasy, Fiction, Humor, Science Fiction, Comedy","3.94"
14,"Judgement Day","Terry Pratchett",2013,"The wizards of Unseen University are again called upon to defend their creation, Roundworld, this time in a courtroom—where its very existence hangs in the balance. The Omnians fervently believe that the world is round, not flat, and view the discovery of Roundworld as a vindication of their faith. To leave this artifact in the hands of the wizards would be unacceptable. Not only do the academics hold that Discworld is flat, but by creating the Roundworld universe, they have elevated themselves to the level of gods. Ankh-Morpork’s venerable tyrant Lord Vetinari agrees to a tribunal, where the wizards Ridcully, Rincewind, and Ponder Stibbons can present their case—with key assistance from a Roundworld librarian named Marjorie Daw. JUDGMENT DAY weaves together explorations of such Earthly topics as big science, creation, subatomic particles, the existence of dark matter, and the psychology of belief--a treat for Discworld fans and readers of popular science alike.","Fantasy, Fiction, Humor, Science Fiction, Comedy","3.86"
15,"Foundation","Isaac Asimov",1951,"For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future--to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save humankind, Seldon gathers the best minds in the Empire--both scientists and scholars--and brings them to a bleak planet at the edge of the galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation.","Science Fiction, Fiction, Classics, Fantasy, Novels","4.17"
15,"Foundation and Empire","Isaac Asimov",1952,"Foundation and Empire tells the incredible story of a new breed of man who create a new force for galactic government. Thus, the Foundation hurtles into conflict with the decadent, decrepit First Empire. In this struggle for power amid the chaos of the stars, man stands at the threshold of a new, enlightened life which could easily be put aside for the old forces of barbarism. The Foundation novels of Isaac Asimov constitute what is very likely the most famed epic in all of science-fiction","Science Fiction, Fiction, Classics, Fantasy, Novels","4.22"
15,"Second Foundation","Isaac Asimov",1952,"So far the Foundation was safe. But there was a hidden Second Foundation to protect the first. The Mule has yet to find it, but he was getting closer all the time. The men of the Foundation sought it, too, to escape from Mule's mind control. Only Arkady, a 14 year-old girl seemed to have the answer, or did she...?","Science Fiction, Fiction, Classics, Fantasy, Novels","4.27"
16,"Storm Front","Jim Butcher",2000,"Lost Items Found. Paranormal Investigations. Consulting. Advice. Reasonable Rates. No Love Potions, Endless Purses, or Other Entertainment. Harry Dresden is the best at what he does. Well, technically, he's the only at what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For the ""everyday"" world is actually full of strange and magical things—and most don't play well with humans. That's where Harry comes in. Takes a wizard to catch a—well, whatever. There's just one problem. Business, to put it mildly, stinks. So when the police bring him in to consult on a grisly double murder committed with black magic, Harry's seeing dollar signs. But where there's black magic, there's a black mage behind it. And now that mage knows Harry's name. And that's when things start to get interesting. Magic - it can get a guy killed.","Fantasy, Urban Fantasy, Mystery, Fiction, Paranormal, Magic","3.98"
16,"Fool Moon","Jim Butcher",2001,"Lost Items Found. Paranormal Investigations. Consulting. Advice. Reasonable Rates. No Love Potions, Endless Purses, or Other Entertainment. Business has been slow. Okay, business has been dead. And not even of the undead variety. You would think Chicago would have a little more action for the only professional wizard in the phone book. But lately, Harry Dresden hasn't been able to dredge up any kind of work — magical or mundane. But just when it looks like he can't afford his next meal, a murder comes along that requires his particular brand of supernatural expertise. A brutally mutilated corpse. Strange-looking paw prints. A full moon. Take three guesses--and the first two don't count...","Fantasy, Urban Fantasy, Mystery, Fiction, Paranormal, Magic","3.99"
16,"Grave Peril","Jim Butcher",2001,"Lost Items Found. Paranormal Investigations. Consulting. Advice. Reasonable Rates. No Love Potions, Endless Purses, or Other Entertainment. Harry Dresden has faced some pretty terrifying foes during his career. Giant scorpions. Oversexed vampires. Psychotic werewolves. It comes with the territory when you're the only professional wizard in the Chicago-area phone book. But in all Harry's years of supernatural sleuthing, he's never faced anything like this: The spirit world has gone postal. All over Chicago, ghosts are causing trouble - and not just of the door-slamming, boo-shouting variety. These ghosts are tormented, violent, and deadly. Someone - or something - is purposely stirring them up to wreak unearthly havoc. But why? And why do so many of the victims have ties to Harry? If Harry doesn't figure it out soon, he could wind up a ghost himself....","Fantasy, Urban Fantasy, Mystery, Fiction, Paranormal, Magic","4.14"
16,"Summer Knight","Jim Butcher",2002,"Lost items found. Paranormal Investigations. Consulting. Advice. Reasonable Rates. No Love Potions, Endless Purses, or Other Entertainment Ever since his girlfriend left town to deal with her newly acquired taste for blood, Harry Dresden has been down and out in Chicago. He can't pay his rent. He's alienating his friends. He can't even recall the last time he took a shower. The only professional wizard in the phone book has become a desperate man. And just when it seems things can't get any worse, in saunters the Winter Queen of Faerie. She has an offer Harry can't refuse if he wants to free himself of the supernatural hold his faerie godmother has over him--and hopefully end his run of bad luck. All he has to do is find out who murdered the Summer Queen's right-hand man, the Summer Knight, and clear the Winter Queen's name. It seems simple enough, but Harry knows better than to get caught in the middle of faerie politics. Until he finds out that the fate of the entire world rests on his solving this case. No pressure or anything...","Fantasy, Urban Fantasy, Mystery, Fiction, Paranormal, Magic","4.27"
17,"Outlander","Diana Gabaldon",1991,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical","4.26"
17,"Dragonfly in Amber","Diana Gabaldon",1992,"From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland... For twenty years Claire Randall has kept her secrets. But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills. Here Claire plans to reveal a truth as stunning as the events that gave it birth: about the mystery of an ancient circle of standing stones ...about a love that transcends the boundaries of time ...and about James Fraser, a Scottish warrior whose gallantry once drew a young Claire from the security of her century to the dangers of his .... Now a legacy of blood and desire will test her beautiful copper-haired daughter, Brianna, as Claire's spellbinding journey of self-discovery continues in the intrigue-ridden Paris court of Charles Stuart ...in a race to thwart a doomed Highlands uprising ...and in a desperate fight to save both the child and the man she loves....","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical","4.34"
17,"Voyager","Diana Gabaldon",1993,"From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber, the extraordinary saga continues. Their passionate encounter happened long ago by whatever measurement Claire Randall took. Two decades before, she had traveled back in time and into the arms of a gallant eighteenth-century Scot named Jamie Fraser. Then she returned to her own century to bear his child, believing him dead in the tragic battle of Culloden. Yet his memory has never lessened its hold on her... and her body still cries out for him in her dreams. Then Claire discovers that Jamie survived. Torn between returning to him and staying with their daughter in her own era, Claire must choose her destiny. And as time and space come full circle, she must find the courage to face the passion and pain awaiting her...the deadly intrigues raging in a divided Scotland... and the daring voyage into the dark unknown that can reunite or forever doom her timeless love.","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical","4.39"
17,"Drums of Autumn","Diana Gabaldon",1996,"In this breathtaking novel, rich in history and adventure, #1 New York Times bestselling author Diana Gabaldon continues the story of Claire Randall and Jamie Fraser that started with the now-classic novel Outlander and continued in Dragonfly in Amber and Voyager. Once again spanning continents and centuries, Gabaldon has created a work of sheer brilliance. What if you knew someone you loved was going to die? What if you thought you could save them? How much would you risk to try? Claire Randall has gone to find Jamie Fraser, the man she loved more than life, and has left half her heart behind with their daughter, Brianna. Claire gave up Jamie to save Brianna, and now Bree has sent her mother back to the Scottish warrior who was willing to give his life to save them both. But a chilling discovery in the pages of history suggests that Jamie and Claire's story doesn't have a happy ending. Brianna dares a terrifying leap into the unknown in search of her mother and the father she has never met, risking her own future to try to change history . . . and to save their lives. But as Brianna plunges into an uncharted wilderness, a heartbreaking encounter may strand her forever in the past . . . or root her in the place she should be, where her heart and soul belong.","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical","4.35"
18,"The Mysterious Affair at Styles","Agatha Christie",1920,"A refugee of the Great War, Poirot has settled in England near Styles Court, the country estate of his wealthy benefactor, the elderly Emily Inglethorp. When Emily is poisoned and the authorities are baffled, Poirot puts his prodigious sleuthing skills to work. Suspects are plentiful, including the victim’s much younger husband, her resentful stepsons, her longtime hired companion, a young family friend working as a nurse, and a London specialist on poisons who just happens to be visiting the nearby village. All of them have secrets they are desperate to keep, but none can outwit Poirot as he navigates the ingenious red herrings and plot twists that contribute to Agatha Christie's well-deserved reputation as the queen of mystery. Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. These are just the novels; Poirot also appears in this period in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel, play and short story has its own entry on Goodreads.","Mystery, Fiction, Classic, Crime, Thriller, Detective","4.00"
18,"The Murder on the Links","Agatha Christie",1923,"When Hercule Poirot and his associate Arthur Hastings arrive in the French village of Merlinville-sur-Mer to meet their client Paul Renauld, they learn from the police that he has been found that morning stabbed in the back with a letter opener and left in a newly-dug grave adjacent to a local golf course. Among the plausible suspects are Renauld's wife Eloise, his son Jack, Renauld's immediate neighbor Madame Daubreuil, the mysterious ""Cinderella"" of Hasting's recent acquaintance, and some unknown visitor of the previous day--all of whom Poirot has reason to suspect. Poirot's powers of investigation ultimately triumph over the wiles of an assailant whose misdirection and motives are nearly--but not quite--impossible to spot. Contains a character key, a detailed biography, and an illustrated list of notable Poirot portrayals. Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. These are just the novels; Poirot also appears in this period in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel, play and short story has its own entry on Goodreads.","Mystery, Fiction, Classic, Crime, Thriller, Detective","3.86"
18,"Poirot Investigates","Agatha Christie",1924,"First there was the mystery of the film star and the diamond... then came the “suicide” that was murder... the mystery of the absurdly cheap flat...a suspicious death in a locked gun room... a million dollar bond robbery... the curse of a pharaoh’s tomb... a jewel robbery by the sea... the abduction of a prime minister... the disappearance of a banker... a phone call from a dying man... and, finally, the mystery of the missing will. What links these fascinating cases? Only the brilliant deductive powers of Hercule Poirot! The short stories are: 1. The Adventure of 'The Western Star', 2. The Tragedy of Marsdon Manor, 3. The Adventure of the Cheap Flat, 4. The Mystery of Hunter's Lodge, 5. The Million Dollar Bond Robbery, 6. The Adventure of the Egyptian Tomb, 7. The Jewel Robbery at the Grand Metropolitan, 8. The Kidnapped Prime Minister, 9. The Disappearance of Mr. Davenheim, 10. The Adventure of the Italian Nobleman, and 11. The Case of the Missing Will. Librarian's note #1: besides the eleven above, there were three more included in the American version of the same title a year later: 12. The Chocolate Box, 13. The Veiled Lady, and 14. The Lost Mine. Librarian's note #2: this is the entry for the collection of short stories, 'Poirot Investigates'. Entries for each of the stories are located elsewhere on Goodreads. All 14 can be found by searching Goodreads for: 'a Hercule Poirot Short Story'. Librarian's note #3: in published order, the first 10 Christie mystery books featuring Poirot are: 1) The Mysterious Affair at Styles, 2) The Murder on the Links, 3) Poirot Investigates, 4) The Murder of Roger Ackroyd, 5) The Big Four, 6) The Mystery of the Blue Train, 7) Black Coffee: A Mystery Play in Three Acts [Charles Osborne novelized the play in 1998 under the title, Black Coffee], 8) Peril at End House, 9) Lord Edgware Dies, and 10) Murder on the Orient Express. Each has its own entry on Goodreads.","Mystery, Fiction, Classic, Crime, Thriller, Detective","3.94"
18,"The Murder of Roger Ackroyd","Agatha Christie",1926,"Considered to be one of Agatha Christie's greatest, and also most controversial mysteries, 'The Murder Of Roger Ackroyd' breaks the rules of traditional mystery. The peaceful English village of King’s Abbot is stunned. The widow Ferrars dies from an overdose of Veronal. Not twenty-four hours later, Roger Ackroyd—the man she had planned to marry—is murdered. It is a baffling case involving blackmail and death that taxes Hercule Poirot’s “little grey cells” before he reaches one of the most startling conclusions of his career. Librarian's note: the first fifteen novels in the Hercule Poirot series are 1) The Mysterious Affair at Styles, 1920; 2) The Murder on the Links, 1923; 3) The Murder of Roger Ackroyd, 1926; 4) The Big Four, 1927; 5) The Mystery of the Blue Train, 1928; 6) Peril at End House, 1932; 7) Lord Edgware Dies, 1933; 8) Murder on the Orient Express, 1934; 9) Three Act Tragedy, 1935; 10) Death in the Clouds, 1935; 11) The A.B.C. Murders, 1936; 12) Murder in Mesopotamia, 1936; 13) Cards on the Table, 1936; 14) Dumb Witness, 1937; and 15) Death on the Nile, 1937. These are just the novels; Poirot also appears in this period in a play, Black Coffee, 1930, and two collections of short stories, Poirot Investigates, 1924, and Murder in the Mews, 1937. Each novel, play and short story has its own entry on Goodreads.","Mystery, Fiction, Classic, Crime, Thriller, Detective","4.27"
19,"The Sandman, Vol. 1: Preludes & Nocturnes","Neil Gaiman",1988,"New York Times best-selling author Neil Gaiman's transcendent series SANDMAN is often hailed as the definitive Vertigo title and one of the finest achievements in graphic storytelling. Gaiman created an unforgettable tale of the forces that exist beyond life and death by weaving ancient mythology, folklore and fairy tales with his own distinct narrative vision. In PRELUDES & NOCTURNES, an occultist attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. After his 70 year imprisonment and eventual escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power. On his arduous journey, Morpheus encounters Lucifer, John Constantine, and an all-powerful madman. This book also includes the story ""The Sound of Her Wings,"" which introduces us to the pragmatic and perky goth girl Death. Includes issues 1-8 of the original series.","Graphic Novels, Comics, Fantasy, Fiction, Horror","4.25"
19,"The Sandman, Vol. 2: The Doll's House","Neil Gaiman",1990,"A being who has existed since the beginning of the universe, Dream of the Endless rules over the realm of dreams. In The Doll's House, after a decades-long imprisonment, the Sandman has returned to find that a few dreams and nightmares have escaped to reality. Looking to recapture his lost possessions, Morpheus ventures to the human plane only to learn that a woman named Rose Walker has inadvertently become a dream vortex and threatens to rip apart his world. Now as Morpheus takes on the last escaped nightmare at a serial killers convention, the Lord of Dreams must mercilessly murder Rose or risk the destruction of his entire kingdom.","Graphic Novels, Comics, Fantasy, Fiction, Horror","4.43"
19,"The Sandman, Vol. 3: Dream Country","Neil Gaiman",1990,"The third volume of the Sandman collection is a series of four short comic book stories. In each of these otherwise unrelated stories, Morpheus serves only as a minor character. Here we meet the mother of Morpheus's son, find out what cats dream about, and discover the true origin behind Shakespeare's A Midsummer's Night Dream. The latter won a World Fantasy Award for best short story, the first time a comic book was given that honor. collecting The Sandman #17–20","Graphic Novels, Comics, Fantasy, Fiction, Horror","4.24"
20,"A Wizard of Earthsea","Ursula K. Le Guin",1968,"Ged, the greatest sorcerer in all Earthsea, was called Sparrowhawk in his reckless youth. Hungry for power and knowledge, Sparrowhawk tampered with long-held secrets and loosed a terrible shadow upon the world. This is the tale of his testing, how he mastered the mighty words of power, tamed an ancient dragon, and crossed death's threshold to restore the balance.","Fantasy, Fiction, Young Adult, Classic, Magic","4.01"
20,"The Tombs of Atuan","Ursula K. Le Guin",1970,"When young Tenar is chosen as high priestess to the ancient and nameless Powers of the Earth, everything is taken away - home, family, possessions, even her name. For she is now Arha, the Eaten One, guardian of the ominous Tombs of Atuan. While she is learning her way through the dark labyrinth, a young wizard, Ged, comes to steal the Tombs' greatest hidden treasure, the Ring of Erreth-Akbe. But Ged also brings with him the light of magic, and together, he and Tenar escape from the darkness that has become her domain.","Fantasy, Fiction, Young Adult, Classic, Magic","4.12"
20,"The Farthest Shore","Ursula K. Le Guin",1972,"Book Three of Ursula K. Le Guin's Earthsea Cycle. Darkness threatens to overtake Earthsea: the world and its wizards are losing their magic. Despite being wearied with age, Ged Sparrowhawk -- Archmage, wizard, and dragonlord -- embarks on a daring, treacherous journey, accompanied by Enlad's young Prince Arren, to discover the reasons behind this devastating pattern of loss. Together they will sail to the farthest reaches of their world -- even beyond the realm of death -- as they seek to restore magic to a land desperately thirsty for it.","Fantasy, Fiction, Young Adult, Classic, Magic","4.12"
20,"Tehanu","Ursula K. Le Guin",1990,"Classics of high fantasy, Ursula K. Le Guin's three previous Earthsea novels-- ""A Wizard of Earthsea,"" ""The Tombs Of Atuan,"" and ""The Farthest Shore"" --have been compared with J.R.R. Tolkien's ""The Lord of the Rings"" and C.S Lewis' ""Narnia"" stories as being among the genre's greatest creations. Now the fourth and final volume, ""Tehanu,"" brings to a conclusion the remarkable Earthsea cycle with a revelation of wisdom, wonder, and literary wizardry. Once she'd been a priestess, quest-companion to a powerful mage, a student of high magic. Then she gave it all up to be a farmer's wife on Gont, content to lead a simple life. But Tenar was not born to live her days in peace, away from great events. A dying wizard and an abused child were the first to call her back to the path she had abandoned. For the end of the adventure beckoned and Tenar would be there along with the dragons, mages, and the young king himself to share in the unforgettable fate of the kingdom known as Earthsea.","Fantasy, Fiction, Young Adult, Classic, Magic","4.02"
